ID,pop,pop2,DBH,sNMF_V1,sNMF_V2,sNMF_V3,sNMF_V4,sNMF_V5,Grafted?,2spec_struc_oc_prop,2spec_struc_swo_prop,2spec_snmf_oc_prop,2spec_snmf_swo_prop
sample_43,EDGE-TN5,EDGE,16.2,0.00159652,0.063392,0.0172936,0.907303,0.010415,,0.03,0.97,0.0791338,0.920866
sample_44,EDGE-TN5,EDGE,25,0.000562421,0.103086,1.00E-04,0.888894,0.00735706,grafted,0.043,0.957,0.107537,0.892463
sample_45,EDGE-TN6,EDGE,10.6,1.00E-04,0.104202,1.00E-04,0.89196,0.00363848,grafted,0.04,0.96,0.101379,0.898621
sample_46,EDGE-TN6,EDGE,12.2,1.00E-04,0.0954229,1.00E-04,0.904277,1.00E-04,grafted,0.048,0.952,0.123181,0.876819
sample_49,EDGE-TN6,EDGE,19.6,1.00E-04,0.0872132,1.00E-04,0.90844,0.00414701,grafted,0.038,0.962,0.0939209,0.906079
sample_50,EDGE-TN6,EDGE,37.5,1.00E-04,0.136115,0.00647413,0.857211,1.00E-04,grafted,0.069,0.931,0.12532,0.87468
sample_51,EDGE-TN6,EDGE,8.5,1.00E-04,0.134021,0.0136556,0.851003,0.001221,attempted,0.051,0.949,0.125409,0.874591
sample_52,EDGE-TN6,EDGE,16,1.00E-04,0.194087,0.00197937,0.803734,1.00E-04,grafted,0.104,0.896,0.211039,0.788961
sample_54,EDGE-TN6,EDGE,6.5,1.00E-04,0.0317726,0.00956247,0.958465,1.00E-04,grafted,0.014,0.986,0.0255193,0.974481
sample_55,EDGE-TN7,EDGE,29.5,1.00E-04,0.48041,1.00E-04,0.51929,1.00E-04,,0.229,0.771,0.488506,0.511494
sample_56,EDGE-TN7,EDGE,30,1.00E-04,0.760134,1.00E-04,0.239566,1.00E-04,,0.389,0.611,0.80874,0.19126
sample_57,EDGE-TN7,EDGE,18.8,1.00E-04,0.880188,1.00E-04,0.119512,1.00E-04,,0.462,0.538,0.906544,0.0934557
sample_58,EDGE-TN7,EDGE,16.8,1.00E-04,0.680513,1.00E-04,0.319187,1.00E-04,,0.383,0.617,0.71674,0.28326
sample_59,EDGE-TN7,EDGE,22.2,1.00E-04,0.897441,1.00E-04,0.102259,1.00E-04,,0.486,0.514,0.913789,0.0862108
sample_60,EDGE-TN7,EDGE,29.5,1.00E-04,0.785403,1.00E-04,0.214297,1.00E-04,,0.401,0.599,0.783239,0.216761
sample_61,EDGE-TN8,EDGE,49,1.00E-04,0.0850568,0.0173609,0.884033,0.0134488,grafted,0.046,0.954,0.0895784,0.910422
sample_62,EDGE-TN8,EDGE,59.4,0.00023924,0.129318,1.00E-04,0.870243,1.00E-04,grafted,0.061,0.939,0.118873,0.881127
sample_63,EDGE-TN8,EDGE,7.4,1.00E-04,0.11401,1.00E-04,0.872302,0.0134879,grafted,0.069,0.931,0.135141,0.864859
sample_65,EDGE-TN8,EDGE,29.6,1.00E-04,0.237288,1.00E-04,0.762412,1.00E-04,,0.13,0.87,0.241238,0.758762
sample_66,EDGE-TN8,EDGE,30,1.00E-04,0.185446,0.00132635,0.812918,0.000209683,,0.105,0.895,0.197091,0.802909
sample_67,EDGE-TN8,EDGE,10,1.00E-04,0.34264,1.00E-04,0.65706,1.00E-04,attempted,0.162,0.838,0.326341,0.673659
sample_68,EDGE-TN8,EDGE,6.3,0.0033491,0.0132754,1.00E-04,0.970997,0.0122785,grafted,0.008,0.992,0.0078645,0.992135
sample_69,EDGE-TN8,EDGE,44.1,0.00515223,0.12469,0.00885606,0.853509,0.00779258,attempted,0.056,0.944,0.117982,0.882018
sample_70,EDGE-TN9,EDGE,21.4,1.00E-04,0.0770885,0.0109569,0.90384,0.00801442,grafted,0.054,0.946,0.1047,0.8953
